,130A,8A,92A,11A,38A,37A,48A,100A,77A,4A,143F,143E,120A,107A,44A,33A,7A,6A,69A,73A,26A,70A,119A,57A,129A,13A,91A,87A,27A,82A,9A,89A,83A,86A,53A
asu,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
wtm,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ven,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
ybi,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
ocu,0,0,1,0,1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,-1,0,0
chg,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,-1,1,1,0
ndu,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
hol,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
arq,0,0,0,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,1,-1,-1,0
drm,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0
eko,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
kmi,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0
kdw,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,-1,0,0
chn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
rru,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
gyc,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,-1,0,1,0,-1,1,1,0
ass,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
mwe,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-1,1,1,0,-1,-1,-1,0
skm,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
tgl,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,1,1,0,1,0,-1,1,1,0
nde,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0
les,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,1
usr,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0
tki,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
tte,0,0,-1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,-1,1,1,0
hnd,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,-1,0
ptt,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0
wrn,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,-1,-1,0
nmm,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
let,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,-1,-1,1,0
kwy,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
sub,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nkn,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-1,-1,0,1,0,-1,-1,1,0
kmb,0,0,1,0,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0
kby,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,1,0
cml,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0
vnm,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
dun,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,-1,0,0,-1,0,0,0,-1,0,1,0,-1,1,1,0
pum,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,-1,0,1,0,-1,0,1,0
yqy,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1,1,1,0
bbu,0,0,0,0,-1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,-1,-1,-1,0
rny,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,1,1,0,-1,-1,-1,0
kba,0,0,-1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,0,-1,-1,0
mxx,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
gnb,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,0,0
ann,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0
dom,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,-1,0,1,-1,1,0
kmj,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,-1,0,-1,-1,-1,0
pra,0,0,0,0,1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
chb,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,0
trm,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-1,0,0
pkt,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,-1,0,-1,-1,-1,0
mra,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,1,0,0,0,0,0,-1
prk,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,-1,0,0,0,1,0,1,0,-1,1,0,0
aar,0,0,-1,0,-1,1,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,1,1,0
bum,0,0,-1,0,-1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
kyr,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
kmo,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0
noc,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,0,1,1,0
tba,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0
gal,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,1,0,1,0,-1,1,0,0
kyp,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
sio,0,0,1,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,1,0
mbr,0,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
mda,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
lmh,0,0,-1,0,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,0,0
omh,0,0,1,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
nbm,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,0
kel,0,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,-1,0
lew,0,0,1,0,1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
zag,0,0,-1,0,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,1,0,0
tao,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0
rao,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,0,0,0,-1,0,0,0,-1,0,1,0,0,1,1,0
kuv,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1
mdg,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
msm,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,0,0
nrg,0,0,0,0,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,1,0
boa,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1,1,0,0
bus,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
gon,0,0,1,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,1,1,0,1,0,1,1,1,0
krn,0,0,1,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,-1,1,-1,0,-1,0,0,0,1,0,0,0,1,1,1,0
mii,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,1,0
shb,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
ngm,0,0,1,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,-1,0
bzi,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
har,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,0,0,1,1,0
lmn,0,0,1,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,1,1,0,1,0,1,1,1,0
bka,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,-1,-1,-1,0
kie,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0
ken,0,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-1,-1,-1,0
tpr,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
shh,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
rsu,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,1,-1,-1,0
juk,0,0,1,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
azi,0,0,-1,0,1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
rum,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,1,1,0
mpt,0,0,1,0,-1,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,1,1,0
rit,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
mig,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uld,0,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
dds,0,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
mkh,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
mpu,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,0,0
hdi,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,-1,-1,-1,0
uyg,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1
kus,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
kac,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1,1,0,0
krh,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,1,0,1,0,0
anu,0,0,1,0,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,-1,-1,0,-1,0,0,0,-1,0,1,0,-1,-1,1,0
wna,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
mik,0,0,-1,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0
amq,0,0,1,0,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,1,0
yrm,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
nnk,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,1,1,-1,1,1,0
cde,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,1,1,1,0
nza,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,-1,-1,-1,0
kmz,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,-1,0,1,0,0,-1,0,0,-1,-1,0,1,0,-1,1,1,0
wrm,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,-1,0,-1,1,0
tlo,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,-1,1,1,0
coa,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
alk,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,0,0
wec,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0
mlu,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,1,0,-1,-1,0,0
sme,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,1,0
mtb,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
sgb,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,1,0
dim,0,0,-1,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,-1,0,1,0,-1,1,0,0
mas,0,0,1,0,-1,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
lag,0,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
aja,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,-1,0
mea,0,0,1,0,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,1,0
mgu,0,0,1,0,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
goe,0,0,1,0,-1,1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
dms,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0
khl,0,0,0,0,1,-1,0,0,-1,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0
urn,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,1,1,1,0
krr,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,1,-1,0
bak,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-1,-1,-1,1
mrs,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
gmz,0,0,-1,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,-1,-1,0
idu,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,0,0
mts,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,1,1,0
dgo,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,0,-1,0
sia,0,0,-1,0,-1,-1,0,0,0,0,1,-1,0,0,0,-1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,0,1,1,0
bti,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
nze,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,-1,0,0,-1,0,0,0,-1,0,1,0,-1,1,0,0
jar,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,-1,0,1,0,0,-1,-1,0
awe,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-1,-1,0,0,0,-1,0,-1,0
mhl,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0
deu,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
cln,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0
nku,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
bas,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
ron,0,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,0
gwo,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,0
gah,0,0,-1,0,1,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,-1,1,0,0
ath,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0
mee,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,-1,0
mlg,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
egn,0,0,1,0,-1,1,0,0,0,0,-1,-1,0,0,0,-1,0,0,1,0,-1,-1,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
cnm,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,0,0,0,0,1,0
kim,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,-1,1,1,0
knw,0,0,-1,0,0,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
chs,0,0,1,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,1,0,-1,1,1,0
mdw,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
ptw,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mad,0,0,1,0,-1,1,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,-1,-1,0,0,0,0,-1,-1,0,1,0,-1,0,0,0
pog,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,-1,0,0
meh,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,-1,0,0,-1,0,-1,-1,0
wom,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,1,1,0
kar,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
aln,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,0,-1,0,1,-1,-1,-1,1,0
aba,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0
bud,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,-1,-1,0,1,0,-1,-1,-1,0
ang,0,0,-1,0,-1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,1,1,0
kaa,0,0,1,0,-1,-1,0,0,0,0,1,-1,0,0,0,1,0,0,-1,0,-1,0,0,1,0,0,0,-1,1,1,0,0,1,1,0
sug,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0
smn,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0
abv,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0
nma,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,-1,0,1,0,-1,1,1,0
